school_name	school_section	cca_grouping_desc	cca_generic_name	cca_customized_name
ADMIRALTY PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	BROWNIES	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUITAR	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - INDIAN	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - MALAY	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	GREEN CLUB	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	INFOCOM CLUB	INFOCOMM CLUB
ADMIRALTY PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	FOOTBALL	FOOTBALL
ADMIRALTY PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	WUSHU	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	ROPE SKIPPING	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	TRACK & FIELD	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	PHOTOGRAPHIC SOCIETY	PHOTOGRAPHY CLUB
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BADMINTON	BADMINTON
ADMIRALTY SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NPCC	NPCC
ADMIRALTY SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	RED CROSS YOUTH
ADMIRALTY SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NCC (LAND)	NCC BOYS (LAND)
ADMIRALTY SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NATIONAL CIVIL DEFENCE CADET CORPS	NCDCC
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUZHENG	GUZHENG ENSEMBLE
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - MODERN	DANCE CLUB
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	DRAMA CLUB
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - CONCERT	CONCERT BAND
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART & ENVIRONMENT CLUB
ANDERSON SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	NETBALL	NETBALL
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	RUGBY	RUGBY
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	TRACK & FIELD	ATHLETICS
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	WUSHU	WUSHU
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	VOLLEYBALL	na
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	ROPE SKIPPING	ROPE SKIPPING
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	CUB SCOUTS
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - ANGKLUNG/KULINTANG	ANGKLUNG ENSEMBLE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - HARMONICA	HARMONICA ENSEMBLE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	CHINESE DANCE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - INDIAN	INDIAN DANCE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - MALAY	MALAY DANCE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	PHOTOGRAPHIC SOCIETY	PHOTOGRAPHY CLUB
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	IT CLUB	(AI) ROBOTICS CLUB
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	AIR RIFLE / SHOOTING	SHOOTING
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BASKETBALL	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	FOOTBALL	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	TRACK & FIELD	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	GIRL GUIDES	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NPCC	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	ST. JOHN BRIGADE	ST JOHN BRIGADE
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	SCOUTS	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NCC (LAND)	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ORCHESTRA - CHINESE	CHINESE ORCHESTRA
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	CHOIR	na
ANDERSON SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - CONCERT	BAND - MILITARY
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - INTERNATIONAL	DANCE ENSEMBLE
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	ORATORICAL DEBATE & DRAMA SOCIETY
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	GREEN CLUB	GREEN SERVICE CLUB
AI TONG SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
AI TONG SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CREATIVE DESIGN CLUB	INFOCOMM CLUB
AI TONG SCHOOL	PRIMARY	PHYSICAL SPORTS	TRACK & FIELD	na
AI TONG SCHOOL	PRIMARY	PHYSICAL SPORTS	TABLE TENNIS	na
AI TONG SCHOOL	PRIMARY	PHYSICAL SPORTS	WUSHU	na
AI TONG SCHOOL	PRIMARY	PHYSICAL SPORTS	VOLLEYBALL	na
AI TONG SCHOOL	PRIMARY	PHYSICAL SPORTS	ARTISTIC GYMNASTICS	na
AI TONG SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	na
AI TONG SCHOOL	PRIMARY	UNIFORMED GROUPS	BROWNIES	na
AI TONG SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
AI TONG SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUZHENG	na
AI TONG SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	DANCE
AI TONG SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
AI TONG SCHOOL	PRIMARY	CLUBS AND SOCIETIES	ROBOTICS CLUB	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	RUGBY	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	SOFTBALL	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	TCHOUKBALL	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - INTERNATIONAL	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	CHESS CLUB	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	ENVIRONMENTAL CLUB	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	CHEERLEADING CLUB	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	MEDIA RESOURCE AND IT CLUB	na
ALEXANDRA PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BASKETBALL	BASKETBALL
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	NETBALL	na
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	FLOORBALL	FLOORBALL
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	na
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUZHENG	GUZHENG ENSEMBLE
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - HANDBELL/HANDCHIME	HANDBELLS ENSEMBLE
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - MODERN	MODERN DANCE
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	GREEN CLUB	ENVIRONMENTAL INNOVATION
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	ROBOTICS CLUB	na
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	INFOCOM CLUB	DIGITAL MEDIA
ANCHOR GREEN PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	WUSHU	WUSHU
ANDERSON PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
ANDERSON PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BASKETBALL	na
ANDERSON PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	FOOTBALL	na
ANDERSON PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	VOLLEYBALL	na
ANDERSON PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	BAND - BRASS	na
ANDERSON PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUZHENG	na
ANDERSON PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - INTERNATIONAL	DANCE ENSEMBLE
ANDERSON PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	na
ANDERSON PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
ANDERSON PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	GREEN CLUB	GAIA CLUB
ANDERSON PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	ROBOTICS CLUB	na
ANDERSON PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	INFOCOM CLUB	na
ANDERSON PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUITAR	na
ANDERSON PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - ANGKLUNG/KULINTANG	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - CONCERT	BAND SYMPHONIC
ANDERSON SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BASKETBALL	na
ANDERSON SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	NETBALL	NETBALL
ANDERSON SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	FOOTBALL	FOOTBALL (BOYS)
ANDERSON SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	TABLE TENNIS	TABLE TENNIS
ANDERSON SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	WUSHU	na
ANDERSON SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	VOLLEYBALL	VOLLEYBALL
ANDERSON SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	GIRL GUIDES	na
ANDERSON SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NPCC	na
ANDERSON SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NCC (LAND)	na
ANDERSON SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	CHOIR	na
ANDERSON SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	na
ANDERSON SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - MALAY	na
ANDERSON SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	ANDERSON THEATRE CIRCLE
ANGLICAN HIGH SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - CONCERT	CONCERT BAND
ASSUMPTION PATHWAY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
ANDERSON SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	GREEN CLUB	na
ANDERSON SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	CYBERNETICS CLUB	ROBOTICS CLUB
ANDERSON SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	INFOCOM CLUB	INFOCOMM CLUB
BEDOK GREEN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART & CRAFT
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	AIR RIFLE / SHOOTING	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	BADMINTON	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	BASKETBALL	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	HOCKEY	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	NETBALL	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	ROCKWALL CLIMBING	SPORTS CLIMBING
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	FOOTBALL	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	SQUASH	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	TABLE TENNIS	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	TAEKWONDO	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	VOLLEYBALL	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	FRISBEE	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	TOUCH FOOTBALL	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	ORCHESTRA - CHINESE	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	CHOIR	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUITAR	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	ENSEMBLE - HARMONICA	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	BAND - SYMPHONIC	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	DANCE - MODERN	DANCE SOCIETY
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	STAGEWORKS
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	MUSICIANS' CLUB	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	AUDIO & VIDEO/ PA CLUB	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	CHESS CLUB	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	DEBATING AND ORATORICAL SOCIETY	DEBATE AND CREATIVE COMMUNICATIONS
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	INTERACT CLUB	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	OUTDOOR ACTIVITIES CLUB	ODAC
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	PHOTOGRAPHIC SOCIETY	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	SCIENCE SOCIETY	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	LDDS - CHINESE	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	LDDS - INDIAN	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	VISUAL AND PERFORMING ARTS	VISUAL ARTS CLUB	na
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	CLUBS AND SOCIETIES	RED CROSS HUMANITARIAN NETWORK	RED CROSS YOUTH
ANDERSON SERANGOON JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	TENNIS	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	NETBALL	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	TRACK & FIELD	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	TABLE TENNIS	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	BAND - BRASS	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - MODERN	Dance Ensemble
ANG MO KIO PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	ROBOTICS CLUB	na
ANG MO KIO PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	INFOCOM CLUB	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BADMINTON	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BASKETBALL	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	NETBALL	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	FOOTBALL	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	TABLE TENNIS	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	VOLLEYBALL	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	BOYS' BRIGADE	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	GIRL GUIDES	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NPCC	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	na
BOWEN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	BOWEN ARTISTS
ANG MO KIO SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	CHOIR	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - INTERNATIONAL	MODERN DANCE
ANG MO KIO SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - MALAY	MALAY DANCE
ANG MO KIO SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	na
ASSUMPTION ENGLISH SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - CONCERT	na
CHIJ ST. NICHOLAS GIRLS' SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
CHUA CHU KANG SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
ANGLICAN HIGH SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DRAMA - CHINESE	CHINESE DRAMA
ANGLICAN HIGH SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	ENGLISH DRAMA
BEDOK GREEN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - CONCERT	CONCERT BAND
ANGLICAN HIGH SCHOOL	SECONDARY	CLUBS AND SOCIETIES	DEBATING AND ORATORICAL SOCIETY	SPEAKERS' CLUB
CHUNG CHENG HIGH SCHOOL (MAIN)	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
ANGLICAN HIGH SCHOOL	SECONDARY	CLUBS AND SOCIETIES	INFOCOM CLUB	na
CLEMENTI TOWN SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	Art Club
ANGLICAN HIGH SCHOOL	SECONDARY	PHYSICAL SPORTS	TABLE TENNIS	na
ANGLICAN HIGH SCHOOL	SECONDARY	PHYSICAL SPORTS	WUSHU	na
ANGLICAN HIGH SCHOOL	SECONDARY	UNIFORMED GROUPS	BOYS' BRIGADE	na
ANGLICAN HIGH SCHOOL	SECONDARY	UNIFORMED GROUPS	GIRLS' BRIGADE	na
ANGLICAN HIGH SCHOOL	SECONDARY	UNIFORMED GROUPS	GIRL GUIDES	na
ANGLICAN HIGH SCHOOL	SECONDARY	UNIFORMED GROUPS	NPCC	na
ANGLICAN HIGH SCHOOL	SECONDARY	UNIFORMED GROUPS	ST. JOHN BRIGADE	na
ANGLICAN HIGH SCHOOL	SECONDARY	UNIFORMED GROUPS	SCOUTS	na
ANGLICAN HIGH SCHOOL	SECONDARY	UNIFORMED GROUPS	NCC (LAND)	na
ANGLICAN HIGH SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ORCHESTRA - CHINESE	CHINESE ORCHESTRA
ANGLICAN HIGH SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	CHOIR	na
ANGLICAN HIGH SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUITAR	GUITAR ENSEMBLE
ANGLICAN HIGH SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - HARMONICA	HARMONICA ORCHESTRA
ANGLICAN HIGH SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - MODERN	DANCE SOCIETY
ANGLICAN HIGH SCHOOL	SECONDARY	PHYSICAL SPORTS	BADMINTON	na
ANGLICAN HIGH SCHOOL	SECONDARY	PHYSICAL SPORTS	BASKETBALL	na
ANGLICAN HIGH SCHOOL	SECONDARY	PHYSICAL SPORTS	NETBALL	na
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	VOLLEYBALL	na
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	TEN-PIN BOWLING	BOWLING
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	AIR RIFLE / SHOOTING	SHOOTING
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	BADMINTON	na
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	BASKETBALL	na
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	CANOEING/ROWING/DRAGON BOAT	CANOEING
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	CROSS COUNTRY	na
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	HOCKEY	na
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	NETBALL	na
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	RUGBY	na
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	FOOTBALL	FOOTBALL
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	SQUASH	na
ANGLO-CHINESE JUNIOR COLLEGE	JUNIOR COLLEGE	PHYSICAL SPORTS	SWIMMING	na
